N,V2,V3,V4,V5,V6
500,0.0014097999999999999,0.0011077000000000001,0.00058200000000000005,0.00055960000000000005,0.00057939999999999999
1000,0.0054352000000000003,0.0038687000000000001,0.0023040999999999999,0.0021416999999999999,0.0021078999999999998
1500,0.0115662,0.0093986,0.0056427999999999999,0.0059569000000000002,0.0058336999999999998
2000,0.015906199999999999,0.0154504,0.0092303999999999997,0.0090182999999999999,0.0097484000000000008
2500,0.032808799999999999,0.0242315,0.016075300000000001,0.015449299999999999,0.014886099999999999
3000,0.0318774,0.026954100000000002,0.0163027,0.016026800000000001,0.0161286
3500,0.050743000000000003,0.044336300000000002,0.0290996,0.0303574,0.028185399999999999
4000,0.083688600000000002,0.072227,0.041581,0.041341099999999999,0.040053900000000003
4500,0.098778000000000005,0.084521399999999997,0.054343099999999998,0.052449799999999998,0.058714299999999997
5000,0.14368230000000001,0.11212519999999999,0.064041500000000001,0.065861199999999995,0.064571199999999995
